datetime,open,high,low,close,volume
2024-01-01,49.244,49.547,47.32,49.097,1453724000
2024-01-08,49.512,55.346,49.479,54.71,2899159000
2024-01-15,55.018002,59.5,54.74,59.491,1959125000
2024-01-22,60.049,62.849,58.585,61.030998,2180966000
2024-01-29,61.232,66.6,60.7,66.16,2058987000
2024-02-05,68.225,72.185,66.3,72.133,2709823000
2024-02-12,72.6,74.611,69.62,72.613,2636656000
2024-02-19,71.947,82.394,66.248,78.817,3089619000
2024-02-26,79.7,82.3,77.125,82.279,2275212000
2024-03-04,84.13,97.4,83.417,87.528,3469163000
2024-03-11,86.429,91.96,84.166,87.837,3226556000
2024-03-18,90.388,94.778,85.010002,94.289,2887301000
2024-03-25,93.941,96.766,89.123,90.356,2087063000
2024-04-01,90.299,92.225,85.88,88.0080032,2090215000
2024-04-08,88.7,90.739,83.022003,88.186,2077138000
2024-04-15,89.098,90.613,75.606,76.2,2631388000
2024-04-22,78.104,88.331,76.4,87.735,2522760000
2024-04-29,87.595,89.281,81.255,88.789,2088782000
2024-05-06,89.39,92.22,88.231,89.878,1852604000
2024-05-13,90.478,95.819,88.529,92.479,1687565000
2024-05-20,93.75,106.475,93.18,106.469,2460917000
2024-05-27,110.244,115.819,106.94,109.633,2310783000
2024-06-03,113.621,125.587,112.0029984,120.888,2447200000
2024-06-10,120.37,132.84,117.010002,131.88,1406333800
2024-06-17,132.99001,140.75999,124.3,126.57,1756092600
2024-06-24,123.24,128.12,118.040001,123.54,1832912700
2024-07-01,123.47,128.85001,118.83,125.83,933185200
2024-07-08,127.49,136.14999,127.040001,129.24001,1399485700
2024-07-15,130.56,131.39,116.56,117.93,1351385200
2024-07-22,120.35,124.69,106.3,113.059998,1513222900
2024-07-29,113.69,120.16,101.37,107.27,2213649400
2024-08-05,92.059998,108.8,90.69,104.75,2056049100
2024-08-12,106.32,125.0,106.26,124.58,1598129600
2024-08-19,124.28,130.75,123.099998,129.37,1575724000
2024-08-26,129.57001,131.25999,116.71,119.37,1869975300
2024-09-02,116.010002,116.21,100.95,102.83,1570114200
2024-09-09,104.88,120.79,103.69,119.099998,1589076900
2024-09-16,116.79,119.66,113.22,116.0,1466985900
2024-09-23,116.55,127.67,114.86,121.4,1419480300
2024-09-30,118.31,125.040001,115.14,124.92,1271290200
2024-10-07,124.99,135.78,124.95,134.8,1290685100
2024-10-14,136.47,140.89,128.74001,138.0,1357584500
2024-10-21,138.13,144.42,137.46001,141.53999,1154273100
2024-10-28,143.0,143.14,132.11,135.39999,987765800
2024-11-04,137.21001,149.77,135.57001,147.63,973098600
2024-11-11,148.67999,149.64999,140.080002,141.98,1017459800
2024-11-18,139.5,152.89,137.14999,141.95,1396925400
2024-11-25,141.99001,142.050003,131.8,138.25,903463700
2024-12-02,138.83,146.53999,137.82001,142.44,928447900
2024-12-09,138.97,141.82001,132.53999,134.25,974961000
2024-12-16,134.17999,136.7,126.86,134.7,1291053700
2024-12-23,136.28,141.89999,134.71001,137.0099945,567998700
2024-12-30,134.83,144.89999,133.83,144.47,750963600
2025-01-06,148.59,153.13,134.22,135.91,1052112000
2025-01-13,129.99001,138.75,129.50999,137.71001,996041100
2025-01-20,139.16,148.97,137.089996,142.62,825973500
2025-01-27,124.8,129.0,116.25,120.07,2648916300
2025-02-03,114.75,130.37,113.010002,129.84,1369686400
2025-02-10,130.089996,139.25,129.080002,138.85001,949079700
2025-02-17,141.27,143.44,134.029999,134.42999,758833800
2025-02-24,136.56,138.59,116.4,124.92,1677630500
2025-03-03,123.51,123.7,107.56,112.69,1756820000
2025-03-10,109.9,121.88,104.77,121.67,1621837200
2025-03-17,122.74,122.89,114.54,117.7,1343942800
2025-03-24,119.88,122.22,109.07,109.67,1156137600
2025-03-31,105.13,111.98,92.11,94.31,1613471100
2025-04-07,87.46,115.099998,86.62,110.93,2451432700
2025-04-14,114.11,114.29,100.050003,101.49,1181522200
2025-04-21,98.77,111.92,95.040001,111.010002,1248911600
2025-04-28,109.69,115.4,104.080002,114.5,1039513700
2025-05-05,112.91,117.68,110.82,117.059998,494319654
